Epochs,B_VGG_16_Train_Acc,B_VGG16_Test_Acc,B_VGG16_Train_Loss,B_VGG16_Test_Loss,B_ResNet34_Train_Acc,B_ResNet34_Test_Acc,B_ResNet34_Train_Loss,B_ResNet34_Test_Loss,B_ResNet50_Train_Acc,B_ResNet50_Test_Acc,B_ResNet50_Train_Loss,B_ResNet50_Test_Loss,B_AlexNet_Train_Acc,B_AlexNet_Test_Acc,B_AlexNet_Train_Loss,B_AlexNet_Test_Loss
1,16.2962963,26.85185185,2.260649032,1.990351586,99.90740741,84.07407407,0.00662826,0.834574682,78.28703704,69.25925926,0.668961564,1.143470641,18.01470588,30.46218507,2.460066783,1.947597777
2,25.13888889,32.40740741,1.964952848,1.816693657,99.81481481,84.25925926,0.007657431,0.754669253,75.83333333,70.18518519,0.775750282,0.997791599,27.15992647,24.6848741,1.920225664,1.91569707
3,31.99074074,40.37037037,1.73779509,1.674735097,99.72222222,83.51851852,0.011294638,0.723803133,79.02777778,70,0.617998465,0.887743221,27.66544118,30.1733194,1.846613267,1.791438173
4,43.00925926,49.62962963,1.453112713,1.307691714,99.90740741,82.59259259,0.007199569,0.762133731,80.74074074,72.77777778,0.544968146,0.873806498,32.67463235,31.69642862,1.758904548,1.73764977
5,50,57.40740741,1.311533285,1.137412808,99.76851852,82.77777778,0.011285304,0.718316455,85.92592593,75.92592593,0.400984714,0.72652281,33.82352941,37.13235294,1.726100455,1.594061508
6,52.5462963,57.03703704,1.220643212,1.147272885,99.9537037,84.44444444,0.007344364,0.762983636,88.10185185,79.07407407,0.303578863,0.738178537,35.52389706,39.62710097,1.664546158,1.672422598
7,56.99074074,55,1.140840446,1.200238785,99.81481481,84.25925926,0.010100766,0.807799374,89.58333333,78.33333333,0.295622526,0.697802076,37.31617647,39.67962195,1.625443764,1.550373077
8,61.11111111,61.85185185,1.00932013,0.96692502,99.53703704,84.25925926,0.012987784,0.759909423,91.48148148,78.33333333,0.244445584,0.640572118,38.78676471,33.7710086,1.598696532,1.657416814
9,65.32407407,61.11111111,0.896574691,0.998712364,99.86111111,82.77777778,0.006892165,0.732166803,92.5,77.77777778,0.202586221,0.680152756,40.57904412,36.63340351,1.570748566,1.79440626
10,64.81481481,62.59259259,0.916673291,0.980769399,99.9537037,82.96296296,0.006452955,0.742028533,94.76851852,79.62962963,0.161173133,0.640796852,41.68198529,41.8855043,1.530980564,1.52437208
11,68.33333333,66.85185185,0.852125457,0.863339666,99.81481481,82.59259259,0.005967502,0.763153798,95.41666667,79.07407407,0.143079991,0.700164699,43.61213235,41.80672274,1.488858149,1.580239184
12,69.35185185,72.40740741,0.781049417,0.778245677,99.90740741,83.51851852,0.005622289,0.696283309,96.06481481,80.55555556,0.121962323,0.681568973,45.08272059,41.96428586,1.459227236,1.439950102
13,72.5,70.55555556,0.736953938,0.764988931,99.86111111,83.88888889,0.005751022,0.798259882,96.15740741,81.48148148,0.125707682,0.637745642,43.10661765,43.11974802,1.470589277,1.44977376
14,74.39814815,69.62962963,0.719359613,0.798144525,99.86111111,82.59259259,0.005347442,0.786487434,96.99074074,80.74074074,0.109441333,0.693508629,46.50735294,47.63655487,1.422178673,1.377137682
15,74.39814815,71.66666667,0.683358946,0.753463028,99.90740741,82.77777778,0.004386152,0.71693773,97.31481481,80,0.084213188,0.744623631,45.35845588,44.6953784,1.421877086,1.44347972
16,77.31481481,71.2962963,0.633639415,0.797098738,99.9537037,84.62962963,0.004413798,0.748490994,97.96296296,81.11111111,0.072071967,0.70426182,47.47242647,40.38865566,1.391778383,1.507723766
17,76.62037037,68.7037037,0.644669872,0.893864306,99.76851852,84.62962963,0.009083743,0.713150607,98.05555556,82.03703704,0.069165146,0.638850384,46.46139706,45.82457998,1.401441753,1.385808531
18,79.21296296,71.66666667,0.581782223,0.831206557,99.86111111,82.77777778,0.007111789,0.898280454,97.91666667,80,0.068398433,0.697524773,46.50735294,47.37394978,1.374500809,1.390312475
19,78.14814815,71.48148148,0.613534575,0.784743358,99.81481481,83.7037037,0.008609948,0.713799231,98.19444444,80,0.060749182,0.685157204,47.47242647,46.95378156,1.377540483,1.386853646
20,81.48148148,73.51851852,0.501226532,0.737211573,99.76851852,82.96296296,0.009419467,0.776178797,98.14814815,81.66666667,0.067783885,0.685284922,50.32169118,50.63025215,1.313011205,1.310676098
