Epochs,R_AlexNet_Train_Acc,R_AlexNet_Test_Acc,R_AlexNet_Train_Loss,R_AlexNet_Test_Loss,R_ResNet34_Train_Acc,R_ResNet34_Test_Acc,R_ResNet34_Train_Loss,R_ResNet34_Test_Loss,R_ResNet50_Train_Acc,R_ResNet50_Test_Acc,R_ResNet50_Train_Loss,R_ResNet50_Test_Loss,R_VGG16_Train_Acc,R_VGG16_Test_Acc,R_VGG16_Train_Loss,R_VGG16_Test_Loss
1,0.1042286720540788,0.0533854166666666,13.307555569542778,2.315279563268026,86.80555555555556,79.25925925925925,0.3877528152045081,0.7034685048792098,90.60185185185183,78.70370370370371,0.2692111181643079,0.7560200624995761,12.12962962962963,20.925925925925927,2.402029100586386,2.271624305668999
2,0.1238219257858064,0.1614583333333333,2.2931682533688016,2.2896217505137124,87.68518518518519,81.85185185185185,0.3511526768698412,0.5463863710562388,88.10185185185185,79.62962962962963,0.3571088730412371,0.7371398044957055,17.22222222222222,12.592592592592592,2.221136692692252,2.2814517932779648
3,0.1755952388048172,0.1627604166666666,2.209211746851603,2.1334041754404702,89.95370370370371,82.96296296296296,0.2955881981726955,0.559274478091134,89.02777777777777,82.5925925925926,0.3386809199171908,0.5489063825872209,20.64814814814815,32.96296296296296,2.095622841049643,1.8745167290463167
4,0.2164558536476559,0.1614583333333333,2.050446973906623,2.132748246192932,92.63888888888889,85.0,0.2130205354050678,0.4156537337435616,90.78703703703704,83.14814814814815,0.2801082956002039,0.5398435592651367,32.361111111111114,46.851851851851855,1.7812742906458237,1.4566459252553827
5,0.2278025812572903,0.20703125,2.0131995677948,1.9071992635726929,94.67592592592592,86.48148148148148,0.1673044662046081,0.4501693348089854,91.85185185185183,82.77777777777777,0.2448643051526125,0.534561726782057,38.8425925925926,50.92592592592592,1.600716801250682,1.3774103732670055
6,0.2695932553874122,0.2252604166666666,1.8883290688196817,1.9181701342264807,96.29629629629628,88.33333333333333,0.1205695365172098,0.4224484744999144,93.75,85.37037037037037,0.2126530093305251,0.4864340192741818,48.75,60.74074074074074,1.3341896358658285,1.036582233274684
7,0.2759796645906236,0.2434895833333333,1.84912105401357,1.8342361847559607,96.71296296296296,89.44444444444444,0.1033721666454392,0.3282026913430955,94.44444444444444,85.37037037037037,0.1744656523360925,0.4567012588183085,53.333333333333336,64.62962962962963,1.2533224330228918,0.9838572670431698
8,0.315848214758767,0.25,1.777221507496304,1.6944018205006917,97.82407407407408,86.85185185185185,0.0746264704777037,0.370008678899871,95.97222222222224,86.29629629629629,0.1350144747206393,0.4937483105394575,57.03703703703704,67.4074074074074,1.1450736417489893,0.8806106167681077
9,0.319196429517534,0.2708333333333333,1.729108797179328,1.6012762784957886,97.54629629629628,90.55555555555556,0.0892990869196022,0.35435837176111,95.0925925925926,85.74074074074075,0.1467249976361499,0.4519860678248935,61.80555555555556,67.77777777777777,1.0305719673633575,0.894821922568714
10,0.3494543664985233,0.3950892885526021,1.6535838974846735,1.4469044208526611,97.82407407407408,87.22222222222223,0.0653332930113024,0.3709171844853295,97.4074074074074,86.85185185185185,0.093561538549907,0.4607455001937018,68.51851851851852,65.74074074074075,0.8610574778388528,1.0509541104821598
