Color,Model,Top1,Top5
RGB,AlexNet,77.7778,98.8889
RGB,ResNet34,95.7407,100
RGB,ResNet50,95.3704,100
RGB,VGG16,95.3704,100
RGB,Inception,85.556,99.26
HSV,AlexNet,72.693,98.8889
HSV,ResNet34,93.5185,100
HSV,ResNet50,90.3704,100
HSV,VGG16,91.111,98.8148
HSV,Inception,75.56,98.89
Red,AlexNet,57.4074,97.037
Red,ResNet34,89.4444,99.8148
Red,ResNet50,88.148148,99.814812
Red,VGG16,88.148148,99.814812
Blue,AlexNet,55.1852,97.037
Blue,ResNet34,81.8148,98.8889
Blue,ResNet50,80.5556,95.2953
Blue,VGG16,80.5556,98.8889
Green,AlexNet,50.370369,97.222221
Green,ResNet34,91.481483,99.629631
Green,ResNet50,90.370369,99.444443
Green,VGG16,87.222221,99.814812
